id|	true_count|	false_count|	null_count|	relationships_count|	users_following_origin_percentage
1133478071573590016|	109|	12323|	0|	12432|	91.74
1133860943325212673|	10|	802|	0|	812|	100.00
1133089990576095232|	705|	41117|	6|	41828|	22.84
1133460500841467904|	760|	50998|	0|	51758|	24.08
1133372826977677313|	5|	2065|	0|	2070|	80.00
1133545212888932352|	3|	8387|	7202|	15592|	0.00
1133436806052102145|	428|	144117|	139488|	284033|	93.69
1133132908212969472|	43|	463|	0|	506|	37.21
1133084510545948672|	7|	4685|	0|	4692|	28.57
1133558331308740608|	541|	24584|	0|	25125|	23.48
1133304711514402816|	4|	678|	202|	884|	100.00
1133352088434556930|	1204|	10809|	6518|	18531|	7.23
1133199065351688192|	0|	10302|	0|	10302|	0
1133449310132199426|	3|	1187|	0|	1190|	66.67
1133720172563456005|	26|	8030|	49602|	57658|	69.23
1133387804854181888|	0|	790|	4800|	5590|	0
