id|	true_count|	false_count|	null_count|	relationships_count|	users_following_origin_percentage
1139914664685580288|	76|	1730|	0|	1806|	46.05
1139836584998637569|	1|	701|	0|	702|	100.00
1139925597583532032|	35|	1087|	0|	1122|	74.29
1139849809634791424|	1|	1189|	0|	1190|	0.00
1139985715570384897|	75|	1407|	0|	1482|	42.67
1140385690695245824|	0|	1422|	3874|	5296|	0
1139980218293215233|	185|	2071|	0|	2256|	20.54
1140410386753003520|	1|	1481|	0|	1482|	100.00
1140035697019183105|	10|	1180|	70|	1260|	100.00
1140171260477018112|	52|	2018|	0|	2070|	73.08
1140199564273573889|	0|	600|	0|	600|	0
1139977232590544897|	9|	747|	0|	756|	77.78
1139923398132424705|	28|	524|	0|	552|	82.14
1139885238912348161|	4|	1476|	2|	1482|	25.00
1140550497486561280|	22|	1384|	0|	1406|	100.00
1140089744799358978|	31|	1949|	90|	2070|	96.77
1139927656403746821|	82|	3458|	0|	3540|	64.63
1140061456060297217|	53|	3027|	112|	3192|	96.23
1140170052374859776|	36|	834|	0|	870|	75.00
1139876779001298946|	0|	462|	0|	462|	0
1139969808680857601|	5|	547|	98|	650|	100.00
1140001077691133959|	34|	1688|	0|	1722|	94.12
1140210192631701504|	0|	2862|	0|	2862|	0
1139935778182717440|	50|	2020|	0|	2070|	88.00
1140392133825835008|	44|	2026|	0|	2070|	93.18
1140486425286082560|	9|	1113|	0|	1122|	88.89
1139911776659787776|	97|	2353|	0|	2450|	28.87
1139880274962059264|	55|	3025|	0|	3080|	85.45
1140037496367009792|	5|	1401|	0|	1406|	100.00
1139948716608167937|	44|	948|	0|	992|	56.82
1140223773804658688|	3|	503|	0|	506|	66.67
1140331403831402496|	2|	990|	64|	1056|	100.00
1140553848743841798|	21|	735|	0|	756|	100.00
1140240721619955714|	75|	1047|	0|	1122|	41.33
1140242652480376832|	25|	575|	0|	600|	92.00
1140306312942800898|	68|	2002|	0|	2070|	60.29
1139906468315095040|	50|	502|	0|	552|	46.00
1139865460953026560|	51|	2705|	0|	2756|	100.00
1140304883242942465|	7|	863|	0|	870|	100.00
1139971037620310016|	2|	460|	44|	506|	100.00
1140078466764853248|	88|	6074|	158|	6320|	84.09
1140351859464404992|	23|	627|	0|	650|	100.00
1139893971461857280|	4|	502|	0|	506|	50.00
1139887625609895936|	276|	46598|	0|	46874|	75.72
